STATIONS
637|Oleška,Krymlov|4|
638|Roztoky,Tyršovo nám.|1|
639|Jince,Žel.st.|6|
640|Mělník,Zádušní|4|
641|Vroutek,Kryrská|9|
642|Chlumčany u Loun|7|
643|Vlašim,rest.U kozla|7|
644|Chlumín|2|
645|Libeř,Na Ovčíně|2|
646|Sulice,Hlubočinka,Obchodní centrum|2|
647|Kněžmost,Malobratřice,otočka|8|
648|Mšeno,žel.st.|6|
649|Čimelice|10|
650|Průhonice,hájovna|1|
651|Doubravička|6|
652|Horní Ledeč|10|
653|Benešov,Jiřího Franka Dětské hřiště|5|
654|Mšeno,Ráj|6|
655|Beroun,K Dubu|4|
656|Líbeznice,I|1|
657|Černošice,Žel.zast.|1|
658|Sosnová,hl.sil.|-|
659|Branžež,Nová Ves|9|
660|Kazanka|P|
661|Buštěhrad,u školy|2|
662|Kostomlaty n.L.,Lány|5|
663|Kamenné Zboží|5|
664|Červené Janovice,Vilémovice|7|
665|Čenkov,Záv.|6|
666|Kbel,Kbílek|6|
667|Třebovle,Dolní|5|
668|Stará Lysá,Hostinec|4|
669|Nové Strašecí,Žel.st.|6|
670|Kelerka|P|
671|Smiřická|P|
672|Žleby,Markovice,drůbežárna|9|
673|Korek|P|
674|Ptýrov,Braňka|8|
675|Říčany,Pacov,U Hřbitova|1|
676|Příbram sídliště|7|
677|Kutná Hora,aut.st.|7|
678|Dolní Krupá,u lípy|10|
679|Jabkenice,křižovatka|7|
680|Vlašim,Vlasákova|7|
681|Příborská|P|
682|Pravonín,Volavka|8|
683|U Tří svatých|B|
684|Radonická|B|
685|Kaliště,V Loučkách|3|
686|Bašť|1|
687|Kralupy n.Vlt.,V Zátiší|3|
688|Načeradec,Novotinky|9|
689|Násirovo náměstí|P|
690|Chleby,Draho|6|
691|Beroun,třída Míru|4|
692|Neratovice,Nám.Republiky|2|
693|Písek,Pražská|-|
694|Dolní Slivno|5|
695|Hřebečníky,Újezdec,rozc.|7|
696|Žehušice|8|
697|Velké Přítočno,ObÚ|2|
698|Praha-Uhříněves|B|
699|Hodčina|P|
700|Bílichov,u křížku|6|
701|Čertousy|B|
702|Louňovice p.Blaníkem,U Mostu|8|
703|Šestajovice,U Školy|B,1|
704|Rokoska|P|
705|Horky u Čáslavi|8|
706|Dobříčkov|6|
707|Chýně,Pivovarský dvůr|1|
708|Řevnice|2|
709|Příbram,Stadion Horymír|7|
710|Pyšely,Hotel Doly|4|
711|Háje,šachta 21 rozc.0.8|7|
712|Hořovice,u Dražovky|6|
713|Škvorec,Třebohostice,škola|1|
714|Tuchoraz|3|
715|Ohrada|P|
716|Opočno u Loun|8|
717|Velká Chuchle|P|
718|Zavidov|8|
719|Líbeznická|P|
720|Hostivařské náměstí|P|
721|Poliklinika Prosek|P|
722|Ctiněves,žel.st.|5|
723|Dobrovice,v hájku|6,7|
724|Brandýs n.L.-St.Bol.,Kralovice|2,3|
725|Nemocnice Bohnice|P|
726|Borotice,rozc.|5|
727|Paceřická|P|
728|Kralupy n.Vlt.,U Parku|3|
729|Vinořská|P|
730|Třtice,u brodku|6|
731|Staroměstská|P|
732|Kostelec n.Č.l.,Trativody|3|
733|Michelangelova|P|
734|Litoměřice,aut.nádr.|9|
735|Kralupy n.Vlt.,kulturní dům|3|
736|Mělník,Loděnická|4|
737|Vranovice,Ural|8|
738|Samechov|4|
739|Nelahozeves,U Nadjezdu|3|
740|Brandýs n.L.-St.Bol.,Fakulta|2,3|
741|Geologická|P|
742|Kozlov,Leština|10|
743|Nemyčeves|11|
744|Podlesí,Nové háj.|7|
745|Velké Popovice,pošta|2|
746|Horčápsko|8|
747|Ve Smečkách|P|
748|Václava Špačka|P|
749|Osov,škola|4|
750|Bukovinská|P|
751|Lhotecký les|P|
752|Lochovice,ústav|5|
753|Dubenec,Skalka IV.|6,7|
754|Mladá Vožice,KOH-I-NOOR|9|
755|Kladno,Smečenská|3|
756|Říčany,OÁZA|1|
757|Církvice,Jakub|7|
758|Letecké muzeum|P|
759|Příbram,Balbínova|7|
760|Chotětov|6|
761|Zlatníky-Hodkovice,Na Drahách|1|
762|Kamenice,Skuheř|3|
763|Řitka,Hl.sil.|2|
764|Dolní Chvatliny|5|
765|Dolní Hbity,Smrčí|7|
766|Studeněves|5|
767|Vidice|5|
768|Křečovice,Nahoruby,Rozc.|6|
769|Nádraží Zbraslav|P|
770|Zvíkovec|9|
771|Stochov,Čelechovice|5|
772|Veliš,Sedlečko,rozc.|7|
773|Špitálka|P|
774|Květnice,Na Ladech|1|
775|Hlavice,odb.Končiny|11|
776|Svatý Mikuláš,Sulovice|8|
777|Rejkovice|6|
778|Pilovská|P|
779|Trubín|5|
780|Sobín|B|
781|Slaný,Žižkova|4|
782|Právnická fakulta|P|
783|Kralupy n.Vlt.,Na Krétě|3|
784|Miličín,Petrovice|8|
785|Pyšely,Zaječice|3|
786|Líbeznice,II|1|
787|Chocnějovice,Drahotice,u kapličky|10|
788|Malíkovice,Hlína|5|
789|Ratboř,rozc.Těšínky|5|
790|Neratovice,Lobkovice,Hřbitov|2|
791|Čáslav,B.Smetany|8|
792|Buštěhrad,U Kahance|2|
793|Rakovník,Plzeňská|7|
794|Beroun,Na Máchovně|4|
795|Pohoří,Markvart|3|
796|Sulice,Želivec,Mandava|2|
797|Libocká|P|
798|Ješetice,Radíč|8|
799|Chocerady,žel.zast.|4|
800|Rakovník,sokolovna|7|
801|Loket u Čechtic,Brzotice|9|
802|Sluhy,Nad Hájem|1|
803|Nalžovice,Nalžovické Podhájí|6|
804|Jarpice|5|
805|Klučov,Skramníky|4|
806|Selských baterií|P|
807|Chocerady|4|
808|Pražská čtvrť|P|
809|Petrovice II,Losiny|7|
810|Lány,Lesní|5|
811|Budyně n.Ohří,Slánská|7|
812|Líšnice,Hl.sil.|2|
813|Velká Buková,Malá Buková,odb.|6|
814|Brandýs n.L.-St.Bol.,U Hřbitova|3|
815|Strenice,Horecká|6|
816|Chyňava,Libečov,u křížku|3|
817|Kostomlaty n.L.|5|
818|Obchodní centrum Hostivař|P|
819|Neveklov,Bělice|6|
820|Mladá Boleslav,Bezděčín|7|
821|Svatý Jan,Hrachov,Zrůbek|8|
822|Příbram,nám.T.G.M.|7|
823|Praha M.n.-viadukt|-|
824|Nepřevázka,hl.sil.|7|
825|Pučery|5|
826|Smilovice,Újezd|6|
827|Byšice|4|
828|Tuchoměřice,Rozc.|1|
829|Bukovno,u sokolovny|6|
830|Slaný,Dolín,II|4|
831|km 126,838=126,904|-|
832|Chlumec n.Cidl.,nemocnice|10|
833|Struhařov,Hliňánky|5|
834|Plavy,křiž.|-|
835|Tunel Homolka 1L,2L|-|
836|Kladno,pekárna|3|
837|Štěchovice,Nad Horou|3|
838|Žehušice,Bojmany,rozc.|8|
839|Winklerova|P|
840|Libošovická|P|
841|Březno|8|
842|Nový Hloubětín|P|
843|Jílové u Prahy,Hřbitov|3|
